Depth,destruction,Victim's reaction,Magnitude,Intensity
17,5,6,6.6,7
9,7,8,7.7,9
10,4,5,6.6,6
60,8,9,8.2,10
150,6,7,6.5,8
25,5,6,7.9,7
21,4,5,6.5,6
31,7,8,6.8,9
10,7,8,7,9
20,2,3,6.5,4
10,2,3,3.5,4
12,5,6,6.7,7
33,6,7,7.1,8
26,5,6,7.5,7
12.02,7,8,6.6,9
35.26,5,6,6,7
30,10,11,8.1,12
63,6,7,6,8
22,5,6,9,7
8,6,7,6.6,8
101.2,7,8,6.9,9
10,6,7,5.9,8
10,6,7,5.8,8
40.85,7,8,6.9,9
15,4,5,6.5,6
10,2,3,4.7,4
24,1,2,7.8,3
56,2,3,4.9,4
14,5,6,7.8,7
6,8,9,6.6,10
31,5,6,7.5,7
38,4,5,6.8,6
20,5,6,6.7,7
156,9,10,7.4,11
68,8,9,7.2,10
30,6,7,8.6,8
27,5,6,5.8,7
620,9,10,7.5,11
24,5,6,7,7
10,3,4,6.8,5
39,5,6,6.6,7
15,7,8,6.8,9
1,7,8,7.6,9
10,6,7,5.4,8
630.379,1,2,6.8,3
9,4,5,6,6
28.62,6,7,6,8
13,3,4,6.8,5
12,4,5,6.7,6
50,5,6,6.8,7
69,6,7,6.3,8
27,3,4,6.6,5
35,8,9,7,10
5,7,8,7.9,9
21,3,4,6.9,5
10,6,7,6.2,8
24,7,8,6.9,9
161.47,5,6,5.7,7
60,9,10,7.7,11
220,3,4,6.8,5
27,10,11,8.3,12
47.55,6,7,6.9,8
11,4,5,6.7,6
631,9,10,8.2,11
9,5,6,6.6,7
24.9,4,5,6.8,6
101.2,7,8,6.9,9
47.39,5,6,8.2,7
33,9,10,7.5,11
22,5,6,6.6,7
18,5,6,6.8,7
200,4,5,7.7,6
150,5,6,7.9,7
10,5,6,5.5,7
16,8,9,7.3,10
35,5,6,7.3,7
30,5,6,7.4,7
15,8,9,5.8,10
69.41,5,6,5.5,7
6,2,3,7.1,4
53,4,5,6.8,6
10,3,4,4.5,5
43.98,6,7,7.1,8
20,2,3,6.5,4
35,5,6,6.6,7
5,6,7,5.8,8
25,4,5,5.3,6
35,7,8,5.4,9
18,4,5,6.6,6
136.34,4,5,3.5,6
14,6,7,6.3,8
19,6,7,6,8
33,8,9,6.4,10
75.17,6,7,6,8
600,8,9,7.5,10
10,6,7,6.2,8
19,7,8,7.3,9
28.93,6,7,8.1,8
39.87,6,7,8,8
35,2,3,6.6,4
49,5,6,5.8,7
33,5,6,5,7
33,4,5,4.6,6
6,3,4,6.1,5
5,8,9,6.3,10
10,8,9,7.4,10
35,2,3,6.6,4
207,9,10,7.1,11
33,4,5,6.7,6
18,6,7,5.5,8
10,7,8,8.2,9
15,8,9,7,10
10,5,6,7.6,7
21,4,5,7.2,6
40,6,7,5.5,8
5,5,6,5.6,7
182.2,8,9,6.5,10
50,5,6,8.3,7
25,5,6,7.9,7
40,5,6,5.5,7
20,8,9,6.6,10
10,2,3,6.6,4
81,6,7,7.6,8
22,2,3,6.8,4
33,9,10,7.2,11
15,6,7,6.1,8
33,7,8,7.4,9
196,4,5,7.7,6
14,3,4,4.5,5
33,7,8,6.3,9
156,9,10,7.4,11
60,8,9,7.2,10
64.06,5,6,5.8,7
22,5,6,7.2,7
47,8,9,7.5,10
155.73,8,9,8,10
118,4,5,6.6,6
16,6,7,6.3,8
62,5,6,5.4,7
18,5,6,6.8,7
33,8,9,7,10
16,6,7,6.7,8
60,7,8,7.6,9
33,4,5,6.9,6
21.69,6,7,6,8
91.27,2,3,7.6,4
192.955,2,3,6.5,4
29,9,10,8.1,11
145,3,4,6.9,5
48.49,6,7,6.5,8
32,6,7,6.8,8
18,5,6,7,7
15,6,7,6.1,8
150,8,9,7.5,10
20,8,9,7.2,10
33,9,10,7.7,11
52,9,10,7.3,11
112,5,6,7.2,7
33,4,5,5,6
10,7,8,6.7,9
60.5,7,8,8,9
64,3,4,6.7,5
33,6,7,6.5,8
28,6,7,6.3,8
12,6,7,7,8
10,7,8,6.6,9
57,6,7,6.1,8
15,6,7,5.4,8
45,4,5,7.1,6
10,9,10,8.5,11
600,3,4,8.2,5
14.27,3,4,7.3,5
56,2,3,4.9,4
36,6,7,5.4,8
11,6,7,6.5,8
10,4,5,7.6,6
20,8,9,6.1,10
26,8,9,6.8,10
18,10,11,7.8,12
60,9,10,7.8,11
111.93,6,7,6.5,8
25.7,3,4,6.6,5
71.32,6,7,6.3,8
65.72,5,6,5.5,7
10,5,6,5.8,7
10,8,9,6.2,10
10,8,9,7.4,10
30,5,6,7.4,7
16.86,4,5,5,6
82,4,5,6.8,6
60,8,9,7.2,10
48,6,7,5.8,8
10,9,10,8.2,11
17,4,5,4.8,6
10,5,6,6.5,7
66,6,7,5.6,8
10,3,4,7.1,5
224.6,3,4,6.5,5
10,6,7,6,8
29,9,10,8.1,11
34,3,4,6.7,5
9,2,3,6.7,4
10,4,5,6.6,6
10,8,9,7.3,10
8,3,4,4.8,5
15,7,8,6.8,9
28,3,4,6.5,5
11,6,7,5.6,8
37,5,6,7.3,7
17,5,6,6.6,7
33,4,5,7.5,6
33,8,9,7.4,10
12,5,6,6.8,7
32,5,6,5.3,7
16,7,8,7.7,9
166.27,6,7,7.4,8
10,8,9,6.3,10
5,7,8,7.5,9
13,4,5,5.4,6
30,2,3,6.5,4
27,9,10,7.6,11
44,8,9,6.4,10
27,6,7,5.3,8
35,2,3,6.6,4
18,4,5,5,6
40,5,6,5,7
40,5,6,5,7
10,8,9,7.6,10
11,4,5,4.9,6
10,7,8,7,9
27,6,7,7.1,8
8,6,7,5.2,8
33,5,6,6.6,7
109,6,7,7.9,8
10,7,8,6.3,9
9,1,2,3.5,3
620.56,2,3,7.6,4
10,6,7,5.4,8
10,3,4,6.7,5
71,8,9,6.4,10
31,3,4,7.6,5
33,8,9,7.6,10
117.13,7,8,6.8,9
33,4,5,6.6,6
105.249,5,6,7.6,7
30,6,7,6.9,8
53.86,6,7,7.3,8
35,8,9,7.6,10
9,7,8,7.7,9
10,5,6,6.5,7
10,6,7,6.2,8
18,6,7,5.3,8
71,2,3,4.9,4
154,8,9,6.7,10
33,6,7,6.6,8
13,5,6,4.9,7
16.56,5,6,7.3,7
15,6,7,7.8,8
40,8,9,6.9,10
196,3,4,7.7,5
60,9,10,7.6,11
10,5,6,5.6,7
10,6,7,6,8
10,5,6,8.2,7
160,4,5,7.5,6
17,7,8,7.6,9
33,4,5,7.6,6
23,6,7,5.6,8
33,7,8,6,9
10,3,4,4.9,5
92.02,7,8,7.5,9
42,1,2,5.2,3
49.2,4,5,6.7,6
33,6,7,7.7,8
33,9,10,7.5,11
21,5,6,6.6,7
158,5,6,5.8,7
10,6,7,6.5,8
11,3,4,7,5
16,4,5,5.8,6
21,4,5,6.5,6
10,4,5,4.8,6
10,6,7,6.5,8
39,5,6,6.6,7
10,9,10,8.3,11
33,6,7,5.9,8
12,6,7,6.1,8
57.92,4,5,6.6,6
22,6,7,4.9,8
60,8,9,7.8,10
15.11,7,8,7.8,9
135,4,5,7.1,6
35,5,6,7.6,7
10,6,7,5,8
40,3,4,6.8,5
25,6,7,5.4,8
10,5,6,5.5,7
20,2,3,6.5,4
60.53,5,6,7.1,7
15,6,7,7.2,8
10,6,7,6.2,8
15,6,7,7.2,8
15.4,4,5,6.8,6
32,4,5,5.6,6
39,2,3,5.5,4
127.82,7,8,6.8,9
91,4,5,6.7,6
107,5,6,6.3,7
10,6,7,7.2,8
221.11,5,6,5.5,7
157.03,6,7,6.3,8
15,7,8,7.1,9
35,4,5,6.7,6
10,5,6,6.6,7
10,4,5,5.4,6
100,7,8,7.5,9
47,9,10,7.3,11
58,3,4,4.4,5
34,6,7,5,8
19,4,5,6.8,6
107,5,6,6.3,7
40,7,8,8.4,9
56,8,9,6.5,10
20,7,8,8.2,9
23,6,7,5,8
5,6,7,5.7,8
12,7,8,6.8,9
60,8,9,7,10
139.4,3,4,6.6,5
27,3,4,6.9,5
25,7,8,6.8,9
16,6,7,5.9,8
12,2,3,5.1,4
55,5,6,8,7
19,3,4,7.5,5
10,4,5,6.8,6
10,8,9,7.8,10
88,4,5,5.6,6
33,8,9,6.4,10
10,6,7,7.5,8
10,5,6,5.3,7
49,7,8,7.1,9
110.12,6,7,6.5,8
16,7,8,6.1,9
16,6,7,6.2,8
21,9,10,7.1,11
10,5,6,5.5,7
13,7,8,6.1,9
21,5,6,6.9,7
10,2,3,5,4
33,3,4,7.9,5
30,4,5,5.4,6
12,5,6,6.8,7
33,4,5,4.6,6
10,6,7,5.5,8
124.91,5,6,5.2,7
145,3,4,6.9,5
43,5,6,7,7
11.57,6,7,5.8,8
39.87,6,7,8,8
43.8,6,7,6,8
10,7,8,5.9,9
105,5,6,5.3,7
10,1,2,6.9,3
33,8,9,6.3,10
13.7,4,5,6.8,6
18,4,5,8.1,6
46,5,6,6.8,7
10,6,7,5.5,8
246,2,3,6.5,4
27,3,4,6.9,5
33,6,7,6,8
10,7,8,6,9
17.86,5,6,5.5,7
13,6,7,6.5,8
5,5,6,6.5,7
10,6,7,6.5,8
110,9,10,8.3,11
122.57,6,7,8,8
34,5,6,6.1,7
29.95,7,8,5.7,9
10,2,3,6.5,4
5,5,6,5.5,7
49,6,7,7.9,8
10,4,5,5,6
10,5,6,5.5,7
595.854,1,2,6.7,3
13,8,9,7.6,10
60,8,9,7.5,10
10.05,5,6,5.8,7
10,7,8,6.9,9
60,8,9,7.1,10
25,7,8,6.1,9
79,4,5,6.8,6
16,7,8,6.1,9
20,9,10,7.7,11
32,4,5,6.7,6
19,3,4,6.6,5
15,7,8,7,9
33,6,7,6,8
10,6,7,6.5,8
434,4,5,7.1,6
20,3,4,7.7,5
10,4,5,4.6,6
18,4,5,5,6
10,7,8,6.3,9
43,6,7,5.1,8
14,7,8,6.7,9
10,5,6,6.5,7
30,7,8,6.5,9
75,7,8,8.3,9
17,6,7,5.5,8
20,6,7,7.4,8
141.58,6,7,6.5,8
48.42,7,8,5.6,9
10,7,8,5.9,9
8,6,7,5.5,8
10,5,6,7.1,7
25,8,9,7.2,10
10,7,8,6.6,9
30,9,10,7.8,11
553.81,1,2,6.7,3
33,4,5,5,6
33,6,7,5.1,8
31,4,5,6.7,6
10,3,4,4.5,5
142.92,7,8,8.5,9
33,6,7,5.8,8
600,9,10,7.5,11
5,7,8,6.4,9
40,6,7,5,8
28,4,5,6.9,6
19,7,8,7.9,9
22,5,6,7,7
20,8,9,8.1,10
12,7,8,6.9,9
20,4,5,6.5,6
22,6,7,6.4,8
22,6,7,4.9,8
10,4,5,6.5,6
10,4,5,5.2,6
10,6,7,6,8
32,6,7,6,8
108,5,6,6.8,7
10,1,2,3.8,3
145,8,9,7,10
43.98,6,7,7.1,8
10,7,8,6.5,9
5.81,6,7,6.9,8
27.8,2,3,6.6,4
36,7,8,6.2,9
10,2,3,6.6,4
33,8,9,7,10
13,4,5,5.2,6
93,5,6,6.9,7
165.49,5,6,7.3,7
17,8,9,7.6,10
10,6,7,6,8
20,7,8,7.6,9
10,6,7,6.5,8
10,5,6,5.9,7
4,7,8,6.2,9
11,5,6,5.1,7
5,0,1,3.9,2
21,6,7,6.5,8
81.32,6,7,5.3,8
10,7,8,6.8,9
10,7,8,7.4,9
66.28,8,9,6.9,10
10,7,8,6.6,9
11,7,8,6.5,9
15,6,7,6.5,8
33,8,9,7,10
10,5,6,7.1,7
10,6,7,6.5,8
73,4,5,7.4,6
33,2,3,4.9,4
35,3,4,7.4,5
10,5,6,5.6,7
614,1,2,6.6,3
10,7,8,7.5,9
10,5,6,6,7
93,4,5,6.9,6
60,8,9,7.8,10
10,6,7,6,8
230,6,7,7.5,8
20,7,8,8.2,9
10,3,4,4.8,5
47.23,4,5,7.5,6
20,5,6,7.2,7
10,6,7,5.9,8
10,5,6,6.7,7
37,6,7,5.3,8
10,5,6,6.6,7
18,5,6,6.8,7
8,6,7,6.1,8
20,4,5,6.6,6
10,5,6,5.5,7
124,7,8,6.1,9
60,8,9,7.6,10
10,5,6,5,7
15,5,6,7.3,7
13,5,6,5.9,7
33,3,4,6.8,5
25,8,9,6.4,10
16,5,6,6.7,7
8,7,8,7.3,9
32,8,9,7.1,10
38,6,7,6.2,8
10,6,7,5.2,8
30,4,5,6.5,6
17.6,6,7,6.5,8
27,8,9,6.8,10
150,8,9,6.8,10
10,5,6,7.1,7
434,4,5,7.1,6
10,8,9,6.2,10
10,4,5,4.7,6
40.2,5,6,6.8,7
12,6,7,6.6,8
121.83,7,8,7,9
461,1,2,6.7,3
115.84,6,7,6,8
35,5,6,4.4,7
10,6,7,5.3,8
212,2,3,6.6,4
60,7,8,7.7,9
10,8,9,7,10
223,4,5,6.7,6
37,5,6,5.2,7
50,4,5,5,6
10,5,6,6.5,7
10,4,5,4.7,6
11,4,5,6.6,6
26,8,9,7.4,10
31,9,10,7.2,11
7,6,7,5.7,8
42.9,4,5,6.5,6
10,4,5,5.8,6
30,7,8,6.5,9
33,8,9,7.5,10
22,5,6,7.2,7
40,5,6,7.1,7
33,4,5,7.5,6
20,8,9,6.3,10
11.6,7,8,6.8,9
12,8,9,5.9,10
35.42,7,8,7,9
19,3,4,6.7,5
8,6,7,6.1,8
84.05,5,6,5.3,7
60,9,10,7.8,11
51.8,4,5,6.6,6
41.16,5,6,5.5,7
33,4,5,7.1,6
120.06,5,6,5.9,7
20,8,9,7.2,10
10,7,8,5.7,9
16,8,9,6,10
65.842,5,6,6.8,7
13,3,4,6.8,5
15,7,8,6.1,9
40,6,7,7.9,8
36,7,8,6.2,9
33,4,5,7.3,6
32,6,7,5.4,8
18,6,7,5.5,8
10,6,7,4.8,8
24,2,3,6.5,4
10,5,6,6.6,7
22.7,5,6,5.5,7
22.4,7,8,7.7,9
10,4,5,4.6,6
10,7,8,7.5,9
176.4,2,3,6.5,4
25,10,11,9.5,12
16,3,4,7.3,5
60,6,7,7.7,8
20,7,8,6.4,9
71,8,9,6.4,10
138.56,7,8,7,9
7,5,6,4.7,7
107.66,8,9,6.8,10
20,7,8,6.3,9
10,6,7,5,8
19,5,6,6.2,7
110,4,5,6.5,6
5,1,2,2.2,3
10,6,7,6,8
65,8,9,6.2,10
31.37,5,6,5.5,7
50,9,10,7,11
10,6,7,6.2,8
27,7,8,7.5,9
20,7,8,7.7,9
37,3,4,6.4,5
10,2,3,4.6,4
30,7,8,7,9
115,5,6,7,7
10,8,9,6.1,10
69.67,5,6,5.5,7
133,3,4,7.1,5
12,5,6,6.8,7
10,5,6,7.7,7
20,7,8,5.8,9
7,7,8,6.8,9
10,5,6,5.6,7
5,6,7,6.4,8
20,5,6,7.4,7
10,4,5,5.9,6
10,6,7,5.3,8
35,5,6,7.9,7
10,6,7,6.7,8
13,6,7,6.3,8
145,5,6,7.5,7
26,6,7,6.6,8
16,8,9,6.4,10
3,6,7,5.1,8
160,9,10,7.6,11
11,6,7,5.6,8
121.83,7,8,7,9
110,4,5,6.9,6
19,5,6,5.7,7
586,2,3,7.6,4
16,6,7,6.2,8
461,1,2,6.7,3
40,8,9,7.5,10
16,2,3,6.6,4
15,6,7,6.4,8
25,3,4,6.9,5
10,1,2,6.9,3
30,8,9,8.1,10
33,4,5,6.5,6
30,8,9,8.1,10
10,2,3,6.6,4
5,4,5,5.1,6
32.571,4,5,7.2,6
22,8,9,7.5,10
50.4,4,5,6.8,6
52,6,7,5.4,8
10,6,7,7,8
24,6,7,7.7,8
9,5,6,6.5,7
26,5,6,6.8,7
9,3,4,6.1,5
22,2,3,6.8,4
14.2,5,6,6.5,7
118,4,5,6.6,6
105,3,4,6.5,5
43,8,9,7.5,10
123.72,7,8,6.5,9
100,8,9,6.4,10
10,2,3,6.6,4
21,9,10,7.2,11
100,7,8,6.3,9
10,6,7,6.2,8
7,2,3,4.9,4
30.3,4,5,8.7,6
10,2,3,6,4
217,2,3,5.6,4
56.6,7,8,6.8,9
20,6,7,6.7,8
5,5,6,5.4,7
48,5,6,7,7
124.65,5,6,5.5,7
10,6,7,6.7,8
65,7,8,6.8,9
60,9,10,7.8,11
12,9,10,7.5,11
114.1,5,6,7,7
77.47,8,9,7.5,10
33,5,6,6.3,7
110,5,6,7.2,7
20.49,5,6,6.7,7
33,6,7,5.6,8
631,9,10,8.2,11
10,6,7,5.8,8
10,4,5,5.8,6
33,4,5,7.2,6
15,6,7,5.5,8
24,5,6,7.6,7
132.83,7,8,7.5,9
83,4,5,6.5,6
25,4,5,8.2,6
10,6,7,6,8
35,4,5,5.4,6
10,8,9,7.6,10
22,7,8,6.7,9
340,9,10,8.4,11
33,8,9,6,10
119.21,5,6,5.5,7
33,6,7,7.9,8
33,8,9,7.9,10
10,2,3,4.6,4
10,5,6,7.1,7
10,5,6,5.6,7
19,5,6,6.2,7
25,4,5,6.6,6
10,0,1,6,2
87,6,7,5.6,8
17,6,7,7.7,8
402,1,2,6.5,3
30,6,7,8.7,8
33,10,11,8,12
66.28,8,9,6.9,10
223,4,5,6.7,6
10,3,4,6.8,5
10,6,7,5.7,8
21.43,3,4,7.1,5
164.4,3,4,6.7,5
30,9,10,7.8,11
14,3,4,7.2,5
10.5,5,6,6.6,7
15,7,8,7,9
100,7,8,6.3,9
40,9,10,7.6,11
14,7,8,6.6,9
28.9,3,4,6.5,5
12,3,4,6.7,5
15,5,6,7.3,7
39,8,9,7.4,10
9,6,7,6.4,8
14,8,9,6.8,10
46,4,5,5,6
30,6,7,9.1,8
48,5,6,7,7
161.51,7,8,5.5,9
26.96,7,8,6.8,9
16,6,7,5.8,8
38,6,7,5.9,8
21,5,6,6.6,7
31,4,5,5.9,6
48,6,7,5.8,8
33,7,8,6.3,9
35,4,5,6.8,6
10,7,8,7,9
55,5,6,8,7
25,4,5,6.8,6
10,7,8,6.3,9
5,8,9,6,10
27.9,7,8,8,9
110,5,6,7.2,7
100,10,11,8.3,12
62.96,8,9,7.2,10
115,5,6,7,7
41,6,7,5.2,8
47,5,6,5.1,7
95,4,5,6.1,6
20,7,8,6.4,9
24,2,3,4.5,4
20,8,9,7.5,10
25.53,7,8,6.8,9
10,5,6,6.8,7
169.74,9,10,8,11
19.9,6,7,7,8
43.37,4,5,7.5,6
10,9,10,7.3,11
4,6,7,6.7,8
30,7,8,6.1,9
112,5,6,7.2,7
18,4,5,8.1,6
21,9,10,7.1,11
60.5,7,8,8,9
10,5,6,6.6,7
600,8,9,7.6,10
60,7,8,7.7,9
33,6,7,5.3,8
66,4,5,6.7,6
20,5,6,6.5,7
10,5,6,5.5,7
17,5,6,6.6,7
74,6,7,6.5,8
36,6,7,6.6,8
18,3,4,4.7,5
122.9,4,5,6.8,6
35,4,5,4.1,6
11,3,4,6.8,5
24,6,7,7.7,8
89.88,5,6,6,7
150,9,10,7,11
4,6,7,6.7,8
190,8,9,7.5,10
20.1,5,6,7.8,7
10,6,7,5.8,8
12,8,9,5.9,10
20,2,3,6.5,4
50,8,9,7.9,10
20,7,8,6.4,9
88,3,4,6.1,5
10,8,9,6.9,10
38.31,6,7,6.1,8
60,8,9,7.7,10
17,8,9,6.8,10
78,4,5,7.2,6
81,9,10,7.5,11
18,6,7,5.3,8
563,8,9,7.6,10
29,5,6,6.7,7
10,5,6,7.5,7
40,7,8,6.8,9
10,3,4,6.6,5
30,6,7,7.5,8
66,8,9,6.7,10
10,8,9,7.9,10
23.98,7,8,6.8,9
14,8,9,7,10
212,4,5,7.3,6
165.49,5,6,7.3,7
10,4,5,5.9,6
10,5,6,5.7,7
50,3,4,6.6,5
60,8,9,7.8,10
10,2,3,7.3,4
137.57,8,9,7.3,10
25.21,6,7,7.5,8
35,8,9,7.8,10
68.88,7,8,6.2,9
14,6,7,5.1,8
6,3,4,4.7,5
126,3,4,6.4,5
10,5,6,5.5,7
38,7,8,7.1,9
17,9,10,7.6,11
21,2,3,4.5,4
19.9,5,6,6.7,7
33.729,6,7,7,8
18,4,5,6.6,6
35,9,10,8,11
10,6,7,6,8
17,7,8,6.5,9
10,6,7,6.5,8
53.04,6,7,6.7,8
8,4,5,5.6,6
114,4,5,5.8,6
5,2,3,4.8,4
30,8,9,7,10
25,5,6,5.5,7
33,10,11,9.5,12
579,1,2,7,3
29.97,4,5,4.8,6
33,4,5,6.5,6
35,9,10,7.8,11
10,6,7,6,8
39,4,5,6.6,6
10,7,8,6,9
34,9,10,7,11
10,5,6,5.4,7
50.04,4,5,6.4,6
39,8,9,6.2,10
10,5,6,5.7,7
10,8,9,6.9,10
60,8,9,6.4,10
16,8,9,6.7,10
60,9,10,7.5,11
9,4,5,4.8,6
91.59,5,6,5,7
29,3,4,6.5,5
33,3,4,6.8,5
231,5,6,7.5,7
90.1,5,6,7.3,7
33,3,4,6.6,5
14,7,8,6.7,9
29.22,5,6,7,7
106.39,6,7,6,8
32,6,7,5.4,8
20,5,6,8.6,7
10,4,5,5.3,6
5,5,6,6.5,7
35,6,7,6.8,8
20,5,6,8.6,7
126.59,7,8,8,9
33,7,8,6.8,9
4.2,7,8,7.9,9
22,4,5,5.3,6
59.25,8,9,6.6,10
10,8,9,6.5,10
66,5,6,6.4,7
33,6,7,7.6,8
16,8,9,6.2,10
16,4,5,4.6,6
18,5,6,6.6,7
10,5,6,7,7
10,10,11,8.1,12
35,8,9,7.3,10
10,5,6,8.3,7
57,8,9,6.1,10
9,5,6,6.5,7
12.1,7,7,6.8,9
28.93,6,7,8.1,8
21,4,5,6.7,6
17,4,5,5,6
64,3,4,6.7,5
30,3,4,6.7,5
43.31,4,5,5.5,6
18,4,5,6.7,6
98.08,4,5,4.1,6
26.89,6,7,6.3,8
15,7,8,6.2,9
19,4,5,6.8,6
10,8,9,6,10
10,8,9,5.1,10
16,3,4,7.3,5
30,7,8,7.4,9
16.1,3,4,6.6,5
43.37,4,5,7.5,6
15,9,10,6.7,11
8,6,7,5.3,8
10,5,6,6.9,7
1,6,7,5.1,8
29,7,8,6.7,9
60,8,9,7.8,10
20,8,9,7.8,10
67.2,4,5,6.6,6
33,7,8,7.8,9
33,8,9,7.9,10
13,4,5,5.2,6
10,4,5,5.2,6
10,4,5,6.5,6
24,5,6,7.2,7
33,5,6,5.1,7
33,4,5,6.5,6
17.8,8,9,7.7,10
44,6,7,5.5,8
20,10,11,7.8,12
35,6,7,5.9,8
19,7,8,7.3,9
18,3,4,6.7,5
33,8,9,7.4,10
8.2,8,9,7.8,10
36,5,6,7.2,7
525,1,2,7.1,3
70.85,6,7,6.4,8
46,3,4,6.8,5
12,6,7,5.2,8
19,6,7,4.6,8
26,6,7,6.6,8
21,3,4,6.5,5
77.12,6,7,6.3,8
17,5,6,6.4,7
11,7,8,7,9
20,3,4,7.7,5
90,8,9,7.2,10
10,7,8,6.2,9
33,4,5,5.3,6
103,5,6,7.1,7
33,6,7,6.8,8
10,7,8,7.3,9
21,4,5,6.6,6
33,2,3,4.5,4
20,7,8,7.6,9
87.84,9,10,8,11
10,3,4,6.5,5
10,3,4,6.9,5
24,4,5,6.8,6
150,6,7,6.9,8
21,4,5,5.6,6
32,4,5,5.6,6
20,6,7,5.7,8
14,3,4,4.9,5
65,8,9,7,10
43.3,6,7,7.8,8
10,5,6,6.6,7
10,7,8,7,9
24,4,5,6.7,6
122.9,4,5,6.8,6
20,5,6,7.3,7
18,8,9,6.3,10
8,6,7,5.7,8
10,9,10,7.4,11
22.44,6,7,8.3,8
33,9,10,7.2,11
15.5,7,8,7.7,9
10,7,8,7.8,9
25,5,6,5.6,7
21,4,5,6.7,6
13,6,7,6.3,8
13.7,4,5,6.8,6
10,5,6,5.1,7
13,5,6,7.6,7
13,8,9,7.6,10
115.48,9,10,7,11
21,5,6,6.8,7
83,8,9,7.8,10
10,4,5,4.7,6
50.37,8,9,8.2,10
107,5,6,6.9,7
33,6,7,5.8,8
40,4,5,7.3,6
33,8,9,7.3,10
37,3,4,7.3,5
119.21,5,6,5.5,7
39,6,7,5.4,8
10,6,6,6.3,8
60,7,8,7.3,9
25,3,4,4.9,5
8,6,7,6.1,8
10,7,8,6.3,9
33,8,9,7.6,10
10,5,6,5.7,7
8.2,5,6,6.5,7
33,4,5,6.7,6
14,3,4,6.8,5
35,4,5,7.8,6
7,5,6,7.5,7
33,4,5,4,6
10,7,8,6.6,9
36,6,7,5.8,8
587.3,2,3,7.9,4
33,5,6,6.2,7
5,9,10,7.9,11
33,8,9,7.6,10
110,5,6,7.2,7
15,4,5,5.4,6
84.34,8,9,7.5,10
10,9,10,7.4,11
142.63,7,8,8,9
29,5,6,6.6,7
30,8,9,8.1,10
621,3,4,7.6,5
24,6,7,6.5,8
26,6,7,6,8
68,5,6,7.2,7
52,6,7,6.8,8
60,8,9,7.8,10
14,4,5,5.8,6
10,6,7,6.6,8
33,7,8,7.1,9
21,4,5,7.1,6
5,1,2,3.6,3
33,6,7,6.1,8
8,5,6,4.9,7
600,3,4,8.2,5
16.1,3,4,6.6,5
70.35,6,7,6,8
49.78,7,8,5.3,9
11,3,4,5.4,5
32,7,8,6.4,9
33,8,9,7.1,10
33,5,6,7.4,7
35,8,9,7.8,10
52.39,6,7,6.5,8
30.18,7,8,6.8,9
573,1,2,6.7,3
13,7,8,6.1,9
165,2,3,6.6,4
16,8,9,7.3,10
10,4,5,4.7,6
30,3,4,5.4,5
136.34,4,5,3.5,6
18,3,4,5.6,5
148.73,7,8,7.3,9
23,9,10,7.3,11
10,6,7,6.2,8
10,6,7,6.3,8
19,3,4,6.6,5
26.58,5,6,5.5,7
147,4,5,6.8,6
6,6,7,5,8
12,6,7,5.6,8
20,6,7,7.5,8
5,4,5,4.7,6
81,6,7,7.6,8
20,5,6,8.6,7
25,6,7,7.5,8
40,5,6,7.7,7
10,3,4,6.8,5
7,5,6,5.4,7
16,5,6,6.7,7
43,4,5,7.1,6
24,6,7,7.9,8
221.11,5,6,5.5,7
25,9,10,7.9,11
8,5,6,5.1,7
36,2,3,4.8,4
20,4,5,6.7,6
10,8,9,7.3,10
14,3,4,4.9,5
15,5,6,6.7,7
5,8,9,6.1,10
153.26,4,5,5,6
5,4,5,5.8,6
50,4,5,6.6,6
10,4,5,6.5,6
30,8,9,7.7,10
50,6,7,6.7,8
10,5,6,6.5,7
33,4,5,7.1,6
101,5,6,6.5,7
25.51,6,7,6.5,8
33,6,7,6.4,8
10,4,5,6.6,6
10,5,6,7.1,7
11,4,5,4.9,6
16,6,7,5,8
45,8,9,7.5,10
33,6,7,5.9,8
41,4,5,5.2,6
10,6,7,6.7,8
170,4,5,7.3,6
6,6,7,5.9,8
10,6,7,6.6,8
10,6,7,5.7,8
28.41,5,6,7,7
60,9,10,7.5,11
10,6,7,5.1,8
20,3,4,6.9,5
45.6,6,7,8,8
267,2,3,7,4
13,9,10,6.9,11
33,8,9,7.7,10
10,3,4,4.8,5
33,3,4,6.7,5
46.66,4,5,8.2,6
50,6,7,7.1,8
61.44,8,9,6.9,10
28,8,9,7.9,10
31,9,10,7.1,11
22.8,4,5,6.6,6
10,5,6,6,7
99,8,9,6.2,10
33,5,6,6.6,7
43,8,9,7.6,10
10,2,3,4.9,4
33,9,10,7,11
51,5,6,5.7,7
19,5,6,7.3,7
10,7,8,5.8,9
34,4,5,8.4,6
100,9,10,7.8,11
33,4,5,5.2,6
46,5,6,5,7
37,3,4,7.3,5
79,4,5,5.7,6
29,4,5,6.5,6
11,8,9,6.4,10
14,5,6,5.6,7
20,5,6,6.9,7
152,8,9,6.6,10
16,8,9,6.4,10
15,6,7,5.5,8
12,4,5,6.9,6
6,3,4,4.7,5
68,4,5,6.5,6
10,7,8,6.7,9
7,6,7,6.2,8
42,3,4,4.7,5
8,5,6,5.7,7
21,9,10,7.2,11
10,6,7,5.3,8
82,4,5,6.8,6
10,7,8,6.8,9
33,4,5,7.1,6
24,5,6,7.6,7
17,6,7,5.8,8
33,6,7,5.2,8
